Height (m asl),RH (%),Latitude (º),Longitude (º),Pressure (mb),Temperature (K),Wind Direction (º),Wind Speed (m/s)
2412.18679,31.7469254,40.01821205,-105.2549358,754.9436,289.698059,138.3113122,4.814872912
2414.913934,31.8235722,40.01826287,-105.2549766,754.703735,289.677582,137.8942017,4.769308554
2417.663137,31.85987,40.01830682,-105.2550184,754.461243,289.655975,137.4833498,4.726459289
2420.569774,31.9293022,40.01834327,-105.2550597,754.1986,289.62677,137.0873816,4.687101618
2423.771042,32.0355835,40.01837166,-105.2551014,753.913757,289.59137,136.7145539,4.651878824
2427.379196,32.1860428,40.0183915,-105.2551441,753.6077,289.549042,136.374251,4.621372021
2431.554254,32.32875,40.01840547,-105.2551871,753.2408,289.502563,136.0767817,4.596194579
2436.191562,32.44233,40.01841648,-105.2552292,752.811157,289.456055,135.831796,4.5769896
2440.914385,32.508667,40.01842652,-105.2552684,752.3827,289.415863,135.6467814,4.564338225
2445.536136,32.5400772,40.01843545,-105.2553042,751.989868,289.38382,135.5270489,4.55862642
2450.228825,32.57737,40.01844316,-105.2553371,751.5941,289.35083,135.4766724,4.559927664
2455.218707,32.62141,40.01844931,-105.2553679,751.15155,289.3045,135.4985641,4.567954299
2460.554135,32.6952972,40.01845319,-105.2553977,750.6644,289.246918,135.5938491,4.582142017
2465.938726,32.8026848,40.01845516,-105.2554282,750.1838,289.1958,135.7610479,4.60185969
2471.201762,32.8849373,40.01845798,-105.2554625,749.7408,289.158966,135.9952507,4.626596826
2476.44046,32.9346771,40.0184671,-105.2555043,749.28186,289.12442,136.2884939,4.656000997
2481.59643,33.0197639,40.0184886,-105.2555536,748.8054,289.084351,136.6314263,4.689715683
2486.437223,33.121067,40.01852481,-105.2556056,748.3873,289.041443,137.01502,4.727159014
2491.1187,33.2214355,40.01857337,-105.2556544,747.9783,288.99527,137.4306338,4.767456343
2495.767962,33.3104553,40.01862793,-105.2556959,747.572937,288.9484,137.8693577,4.809563573
2500.604132,33.3757668,40.01868126,-105.25573,747.152039,288.898865,138.3221363,4.852402542
2505.724484,33.4384422,40.01872966,-105.255761,746.694,288.842957,138.7807421,4.894899955
2510.934503,33.4874573,40.0187739,-105.2557923,746.2426,288.782318,139.2385406,4.936051677
2516.068675,33.6026459,40.01881782,-105.2558218,745.7937,288.723022,139.6898868,4.975045238
